icao,tail,plane,tail_prefix,Country or region
155c4a,RA-89162,Sukhoi SuperJet 100-95B,RA,Russia
151e35,RA-73269,Boeing 737-8Q8,RA,Russia
14f117,RA-61719,Antonov An-148-100EA,RA,Russia
15206a,RA-73834,Airbus A320-214,RA,Russia
15201f,RA-73759,Airbus A320-214,RA,Russia
151ff2,RA-73714,Airbus A321-211,RA,Russia
15204a,RA-73802,Airbus A321-251NX,RA,Russia
151e15,RA-73237,Boeing 737-8LJ,RA,Russia
151fb3,RA-73651,Boeing 737-752,RA,Russia
155bc0,RA-89024,Sukhoi SuperJet 100-95B,RA,Russia
151e03,RA-73219,Airbus A319-111,RA,Russia
151d46,RA-73030,Boeing 767-3Q8ER,RA,Russia
155bf7,RA-89079,Sukhoi SuperJet 100-95LR,RA,Russia
151dac,RA-73132,Boeing 777-3M0ER,RA,Russia
151da8,RA-73128,Boeing 737-8LJ,RA,Russia
151e54,RA-73300,Boeing 737-8LJ,RA,Russia
152c97,RA-76951,Ilyushin Il-76TD-90VD,RA,Russia
140671,RA-01649,Bell 505 JetRanger X,RA,Russia
151e2d,RA-73261,Boeing 737-86N,RA,Russia
14069e,RA-01694,AgustaWestland AW139,RA,Russia
152070,RA-73840,Airbus A321-251NX,RA,Russia
15069e,RA-67230,Canadair CL-600-2B19 Regional Jet CRJ-200LR,RA,Russia
151df3,RA-73203,Airbus A319-111,RA,Russia
151d85,RA-73093,Boeing 737-8LJ,RA,Russia
151e7c,RA-73340,Boeing 777-212ER,RA,Russia
151fe8,RA-73704,Airbus A321-251NX,RA,Russia
155c07,RA-89095,Sukhoi SuperJet 100-95LR,RA,Russia
43beb8,RA-73152,Airbus A350-941,RA,Russia
152027,RA-73767,Airbus A320-214,RA,Russia
151fec,RA-73708,Airbus A321-211,RA,Russia
155c11,RA-89105,Sukhoi SuperJet 100-95B,RA,Russia
151fde,RA-73694,Airbus A320-232,RA,Russia
152031,RA-73777,Airbus A320-214,RA,Russia
151ef7,RA-73463,Airbus A320-271N,RA,Russia
155bef,RA-89071,Sukhoi SuperJet 100-95LR,RA,Russia
151db2,RA-73138,Boeing 777-3M0ER,RA,Russia
140aaa,RA-02730,Raytheon Hawker 850XP,RA,Russia
151e3b,RA-73275,Boeing 777-31HER,RA,Russia
155c46,RA-89158,Sukhoi SuperJet 100-95B,RA,Russia
1506fe,RA-67326,Cessna 500 Citation I,RA,Russia
151ec0,RA-73408,Boeing 737-83N,RA,Russia
152066,RA-73830,Airbus A320-214,RA,Russia
151d93,RA-73107,Boeing 737-800WL,RA,Russia
140ac5,RA-02757,Embraer Legacy 600,RA,Russia
1506a6,RA-67238,Bombardier Challenger 605,RA,Russia
14fa39,RA-64057,Tupolev Tu-204-300A,RA,Russia
151edc,RA-73436,Airbus A321-211,RA,Russia
15201e,RA-73758,Airbus A320-214,RA,Russia
14fa3b,RA-64059,Tupolev Tu-204-300A,RA,Russia
151ed8,RA-73432,Airbus A320-271N,RA,Russia
151dea,RA-73194,Airbus A320-214,RA,Russia
151fc6,RA-73670,Boeing 737-8ZS,RA,Russia
15204b,RA-73803,Airbus A320-214,RA,Russia
151d53,RA-73043,Boeing 737-524,RA,Russia
155c6b,RA-89195,Sukhoi SuperJet 95-100LR,RA,Russia
152049,RA-73801,Airbus A321-251NX,RA,Russia
1501c8,RA-65992,Tupolev Tu-134AK,RA,Russia
141e16,RA-07702,AgustaWestland AW139,RA,Russia
151e16,RA-73238,Boeing 737-800WL,RA,Russia
15205d,RA-73821,Airbus A320-251N,RA,Russia
151d45,RA-73029,Boeing 757-2K2,RA,Russia
151e00,RA-73216,Airbus A319-112,RA,Russia
151eee,RA-73454,Airbus A320-271N,RA,Russia
155bf4,RA-89076,Sukhoi SuperJet 100-95LR,RA,Russia
155c28,RA-89128,Sukhoi SuperJet 100-95B,RA,Russia
155c2c,RA-89132,Sukhoi SuperJet 100-95B,RA,Russia
151e57,RA-73303,Boeing 737-800WL,RA,Russia
acb8f4,RA-07845,Beech G36 Bonanza,RA,Russia
151d6b,RA-73067,Boeing 737-45S,RA,Russia
151d86,RA-73094,Boeing 737-8LJ,RA,Russia
151d69,RA-73065,Boeing 737-45S,RA,Russia
152073,RA-73843,Airbus A321-231,RA,Russia
155bd8,RA-89048,Sukhoi SuperJet 100-95LR,RA,Russia
140b2d,RA-02861,Embraer 170-100SU,RA,Russia
b11ec9,RA-73417,Airbus A319-133CJ,RA,Russia
151dc7,RA-73159,Airbus A330-343E,RA,Russia
152024,RA-73764,Airbus A320-214,RA,Russia
155bdc,RA-89052,Sukhoi SuperJet 100-95B,RA,Russia
151d2c,RA-73004,Boeing 737-76N,RA,Russia
155c12,RA-89106,Sukhoi SuperJet 100-95B,RA,Russia
151db1,RA-73137,Boeing 777-3M0ER,RA,Russia
151ef4,RA-73460,Airbus A320-271N,RA,Russia
151d28,RA-73000,Boeing 737-76N,RA,Russia
152032,RA-73778,Airbus A320-214,RA,Russia
151d7d,RA-73085,Boeing 737-8AS,RA,Russia
140664,RA-01636,Bell 429 GlobalRanger,RA,Russia
14f11c,RA-61724,Antonov An-148-100E,RA,Russia
151d90,RA-73104,Boeing 737-800WL,RA,Russia
152065,RA-73829,Airbus A320-214,RA,Russia
151ec3,RA-73411,Boeing 737-8GJ,RA,Russia
1506aa,RA-67242,Bombardier Global Express XRS,RA,Russia
151fff,RA-73727,Airbus A321-211,RA,Russia
152012,RA-73746,Airbus A320-214,RA,Russia
151e4f,RA-73295,Boeing 737-8MA,RA,Russia
1533ad,RA-78765,Ilyushin Il-76TD,RA,Russia
155c32,RA-89138,Sukhoi SuperJet 100-95B,RA,Russia
152045,RA-73797,Airbus A321-231,RA,Russia
150644,RA-67140,Canadair CL-600-2B19 Regional Jet CRJ-200LR,RA,Russia
151e1a,RA-73242,Boeing 737-8LJ,RA,Russia
155bb9,RA-89017,Sukhoi SuperJet 100-95B,RA,Russia
155c65,RA-89189,Sukhoi SuperJet 100-95B,RA,Russia
141d5d,RA-07517,Eurocopter AS350 B3e Ecureuil,RA,Russia
152053,RA-73811,Airbus A319-112,RA,Russia
151dd0,RA-73168,Airbus A320-214,RA,Russia
151d4b,RA-73035,Boeing 737-524,RA,Russia
152004,RA-73732,Airbus A320-251N,RA,Russia
152c98,RA-76952,Ilyushin Il-76TD-90VD,RA,Russia
151da7,RA-73127,Boeing 737-8LJ,RA,Russia
155c24,RA-89124,Sukhoi SuperJet 100-95B,RA,Russia
155bf8,RA-89080,Sukhoi SuperJet 100-95LR,RA,Russia
151e20,RA-73248,Boeing 737-800WL,RA,Russia
152a8d,RA-76429,Ilyushin Il-76TD,RA,Russia
151d65,RA-73061,Boeing 737-524,RA,Russia
151ebb,RA-73403,Airbus A320-214,RA,Russia
1405ee,RA-01518,Pilatus PC-12/47E,RA,Russia
150691,RA-67217,Bombardier BD-100-1A10 Challenger 300,RA,Russia
140ae4,RA-02788,Embraer EMB 550 Legacy 500,RA,Russia
142af9,RA-11001,Gulfstream Aerospace GIV-X (G450),RA,Russia
151d8a,RA-73098,Boeing 737-800WL,RA,Russia
155c0c,RA-89100,Sukhoi SuperJet 100-95B,RA,Russia
152028,RA-73768,Airbus A320-214,RA,Russia
151fe7,RA-73703,Airbus A321-251NX,RA,Russia
15202c,RA-73772,Airbus A320-214,RA,Russia
155bd4,RA-89044,Sukhoi SuperJet 100-95B,RA,Russia
155c08,RA-89096,Sukhoi SuperJet 100-95LR,RA,Russia
140629,RA-01577,Pilatus PC-24,RA,Russia
151e61,RA-73313,Boeing 737-82R,RA,Russia
155c1e,RA-89118,Sukhoi SuperJet 100-95B,RA,Russia
140b35,RA-02869,Embraer 170-100SU,RA,Russia
151ef8,RA-73464,Airbus A320-271N,RA,Russia
155be2,RA-89058,Sukhoi SuperJet 100-95B,RA,Russia
151fd1,RA-73681,Airbus A319-114,RA,Russia
151d73,RA-73075,Boeing 757-2Q8,RA,Russia
152069,RA-73833,Airbus A320-214,RA,Russia
15206b,RA-73835,Airbus A320-214,RA,Russia
151ecd,RA-73421,Airbus A320-214,RA,Russia
140668,RA-01640,Bell 429 GlobalRanger,RA,Russia
15206c,RA-73836,Airbus A321-251NX,RA,Russia
151d9f,RA-73119,Boeing 737-8LJ,RA,Russia
14f115,RA-61717,Antonov An-148-100EM,RA,Russia
151e37,RA-73271,Airbus A321-231,RA,Russia
151d72,RA-73074,Boeing 757-2Q8,RA,Russia
142592,RA-09618,Dassault Falcon 7X,RA,Russia
152068,RA-73832,Airbus A320-214,RA,Russia
155be3,RA-89059,Sukhoi SuperJet 100-95B,RA,Russia
151efb,RA-73467,Boeing 737-8AS(F),RA,Russia
15203d,RA-73789,Airbus A330-343E,RA,Russia
154c32,RA-85042,Tupolev Tu-154M,RA,Russia
151e60,RA-73312,Boeing 737-8AS,RA,Russia
1427dd,RA-10205,Gulfstream Aerospace GVI (G650),RA,Russia
155c1d,RA-89117,Sukhoi SuperJet 100-95B,RA,Russia
151ef9,RA-73465,Airbus A320-271N,RA,Russia
15202b,RA-73771,Airbus A320-214,RA,Russia
14fa0e,RA-64014,Tupolev Tu-204-100,RA,Russia
155c0b,RA-89099,Sukhoi SuperJet 100-95B,RA,Russia
152029,RA-73769,Airbus A320-214,RA,Russia
150690,RA-67216,Bombardier Challenger 604,RA,Russia
151ebc,RA-73404,Airbus A320-214,RA,Russia
151dff,RA-73215,Airbus A319-115LR,RA,Russia
150805,RA-67589,Cessna 560XL Citation XLS+,RA,Russia
151e21,RA-73249,Boeing 737-800WL,RA,Russia
142584,RA-09604,Dassault Falcon 7X,RA,Russia
151e5a,RA-73306,Boeing 737-800WL,RA,Russia
155bf9,RA-89081,Sukhoi SuperJet 100-95LR,RA,Russia
155c25,RA-89125,Sukhoi SuperJet 100-95B,RA,Russia
152005,RA-73733,Airbus A320-251N,RA,Russia
151da6,RA-73126,Boeing 737-8LJ,RA,Russia
157712,RA-96018,Ilyushin Il-96-300,RA,Russia
